YDH,PowerDen
1306005,0
1306006,0
1306007,0
1306008,0
1306009,0
1306010,0
1306011,0
1306012,0.05009687
1306013,0.2198844
1306014,0.3785156
1306015,0.50235
1306016,0.5684375
1306017,0.5776281
1306018,0.5594591
1306019,0.4471501
1306020,0.4040816
1306021,0.2415758
1306022,0.06964687
1306023,0
1306100,0
1306101,0
1306102,0
1306103,0
1306104,0
1306105,0
1306106,0
1306107,0
1306108,0
1306109,0
1306110,0
1306111,0
1306112,0.05195625
1306113,0.2204156
1306114,0.3661906
1306115,0.5088844
1306116,0.5908031
1306117,0.5298156
1306118,0.5700812
1306119,0.4623564
1306120,0.3331785
1306121,0.1918344
1306122,0.02874063
1306123,0
1306200,0
1306201,0
1306202,0
1306203,0
1306204,0
1306205,0
1306206,0
1306207,0
1306208,0
1306209,0
1306210,0
1306211,0
1306212,0.04430625
1306213,0.2097906
1306214,0.3678906
1306215,0.50898
1306216,0.5917062
1306217,0.6324
1306218,0.3698485
1306219,0.4997426
1306220,0.3682625
1306221,0.2037344
1306222,0.03532812
1306223,0
1306300,0
1306301,0
1306302,0
1306303,0
1306304,0
1306305,0
1306306,0
1306307,0
1306308,0
1306309,0
1306310,0
1306311,0
1306312,0.05615313
1306313,0.05987187
1306314,0.3904156
1306315,0.517225
1306316,0.59415
1306317,0.192101
1306318,0.5860062
1306319,0.550375
1306320,0.42007
1306321,0.03949665
1306322,0.03830312
1306323,0
1306400,0
1306401,0
1306402,0
1306403,0
1306404,0
1306405,0
1306406,0
1306407,0
1306408,0
1306409,0
1306410,0
1306411,0
1306412,0.06422812
1306413,0.2375219
1306414,0.3964188
1306415,0.5200406
1306416,0.5971781
1306417,0.6190656
1306418,0.5881922
1306419,0.5039237
1306420,0.3738406
1306421,0.2108531
1306422,0.04149062
1306423,0
1306500,0
1306501,0
1306502,0
1306503,0
1306504,0
1306505,0
1306506,0
1306507,0
1306508,0
1306509,0
1306510,0
1306511,0
1306512,0.004303125
1306513,0.04319062
1306514,0.05450625
1306515,0.1051344
1306516,0.58446
1306517,0.0813875
1306518,0.08539271
1306519,0.07474124
1306520,0.0537625
1306521,0.02650937
1306522,0
1306523,0
1306600,0
1306601,0
1306602,0
1306603,0
1306604,0
1306605,0
1306606,0
1306607,0
1306608,0
1306609,0
1306610,0
1306611,0
1306612,0.006959375
1306613,0.07846563
1306614,0.2202031
1306615,0.478125
1306616,0.1670781
1306617,0.425871
1306618,0.436596
1306619,0.1496
1306620,0.05195625
1306621,0.01816875
1306622,0.01205937
1306623,0
1306700,0
1306701,0
1306702,0
1306703,0
1306704,0
1306705,0
1306706,0
1306707,0
1306708,0
1306709,0
1306710,0
1306711,0
1306712,0.009403124
1306713,0.2291812
1306714,0.1800406
1306715,0.5110094
1306716,0.2255156
1306717,0.6407918
1306718,0.6187897
1306719,0.1277513
1306720,0.2402312
1306721,0.2756059
1306722,0.1076844
1306723,0
1306800,0
1306801,0
1306802,0
1306803,0
1306804,0
1306805,0
1306806,0
1306807,0
1306808,0
1306809,0
1306810,0
1306811,0
1306812,0.08170626
1306813,0.2599937
1306814,0.4277094
1306815,0.5539344
1306816,0.6311781
1306817,0.6550313
1306818,0.6238615
1306819,0.5400666
1306820,0.4098362
1306821,0.2386906
1306822,0.06008437
1306823,0
1306900,0
1306901,0
1306902,0
1306903,0
1306904,0
1306905,0
1306906,0
1306907,0
1306908,0
1306909,0
1306910,0
1306911,0
1306912,0.0796875
1306913,0.2608438
1306914,0.4206437
1306915,0.5480906
1306916,0.6255469
1306917,0.6470625
1306918,0.6160637
1306919,0.5328004
1306920,0.111256
1306921,0.1310144
1306922,0.06258125
1306923,0
1307000,0
1307001,0
1307002,0
1307003,0
1307004,0
1307005,0
1307006,0
1307007,0
1307008,0
1307009,0
1307010,0
1307011,0
1307012,0.0099875
1307013,0.03107812
1307014,0.05084063
1307015,0.08765625
1307016,0.1947031
1307017,0.1940656
1307018,0.4986953
1307019,0.4058183
1307020,0.2188287
1307021,0.07809375
1307022,0
1307023,0
1307100,0
1307101,0
1307102,0
1307103,0
1307104,0
1307105,0
1307106,0
1307107,0
1307108,0
1307109,0
1307110,0
1307111,0
1307112,0
1307113,0.2590375
1307114,0.4229281
1307115,0.5527125
1307116,0.6404139
1307117,0.6737947
